route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,15,t663-b232F-slF,"West Hill - Downtown",0,9007,39493_shp,0,0
14,15,t708-b232F-slF,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,9007,39640_shp,0,0
14,15,t72B-b232F-slF,"West Hill - Downtown",0,9007,39493_shp,0,0
14,15,t7D0-b232F-slF,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,9007,39640_shp,0,0
14,15,t7F3-b232F-slF,"West Hill - Downtown",0,9007,39493_shp,0,0
15,12,t2D1-b1F47-slC,"Titus Towers - Wegmans - Walmart",1,8007,39514_shp,0,0
15,12,t2E5-b1F47-slC,"Walmart-Titus Towers-Commons@Green St",0,8007,39604_shp,0,0
15,12,t335-b1F50-slC,"Titus Towers - Wegmans - Walmart",1,8016,39514_shp,0,0
15,12,t349-b1F50-slC,"Walmart-Titus Towers-Commons@Green St",0,8016,39604_shp,0,0
15,12,t399-b1F47-slC,"Titus Towers - Wegmans - Walmart",1,8007,39514_shp,0,0
15,12,t3AD-b1F47-slC,"Walmart-Titus Towers-Commons@Green St",0,8007,39604_shp,0,0
15,12,t3FD-b1F50-slC,"Titus Towers - Wegmans - Walmart",1,8016,39514_shp,0,0
15,12,t411-b1F50-slC,"Walmart-Titus Towers-Commons@Green St",0,8016,39604_shp,0,0
15,12,t461-b1F47-slC,"Titus Towers - Wegmans - Walmart",1,8007,39514_shp,0,0
15,12,t475-b1F47-slC,"Walmart-Titus Towers-Commons@Green St",0,8007,39604_shp,0,0
15,12,t4C5-b1F50-slC,"Titus Towers - Wegmans - Walmart",1,8016,39514_shp,0,0
15,12,t4D9-b1F50-slC,"Walmart-Titus Towers-Commons@Green St",0,8016,39604_shp,0,0
15,12,t529-b1F47-slC,"Titus Towers - Wegmans - Walmart",1,8007,39514_shp,0,0
15,12,t53D-b1F47-slC,"Walmart-Titus Towers-Commons@Green St",0,8007,39604_shp,0,0
15,12,t58D-b1F50-slC,"Titus Towers - Wegmans - Walmart",1,8016,39514_shp,0,0
15,12,t5A1-b1F50-slC,"Walmart-Titus Towers-Commons@Green St",0,8016,39604_shp,0,0
15,12,t5F1-b1F47-slC,"Titus Towers - Wegmans - Walmart",1,8007,39514_shp,0,0
15,12,t605-b1F47-slC,"Walmart-Titus Towers-Commons@Green St",0,8007,39604_shp,0,0
15,12,t655-b1F50-slC,"Titus Towers - Wegmans - Walmart",1,8016,39514_shp,0,0
15,12,t669-b1F50-slC,"Walmart-Titus Towers-Commons@Green St",0,8016,39604_shp,0,0
15,12,t6B9-b1F47-slC,"Titus Towers - Wegmans - Walmart",1,8007,39514_shp,0,0
15,12,t6CD-b1F47-slC,"Walmart-Titus Towers-Commons@Green St",0,8007,39604_shp,0,0
15,12,t71D-b1F50-slC,"Titus Towers - Wegmans - Walmart",1,8016,39514_shp,0,0
15,12,t731-b1F50-slC,"Walmart-Titus Towers-Commons@Green St",0,8016,39604_shp,0,0
15,12,t781-b1F47-slC,"Titus Towers - Wegmans - Walmart",1,8007,39514_shp,0,0
15,12,t795-b1F47-slC,"Walmart-Titus Towers-Commons@Green St",0,8007,39604_shp,0,0
15,13,t335-b1B5C-slD,"Titus Towers - Wegmans - Walmart",1,7004,39635_shp,0,0
15,13,t349-b1B5C-slD,"Walmart-Titus Towers-Commons@Green St",0,7004,39632_shp,0,0
15,13,t399-b1B5B-slD,"Titus Towers - Wegmans - Walmart",1,7003,39635_shp,0,0
15,13,t3AD-b1B5B-slD,"Walmart-Titus Towers-Commons@Green St",0,7003,39632_shp,0,0
15,13,t3FD-b1B5C-slD,"Titus Towers - Wegmans - Walmart",1,7004,39635_shp,0,0
15,13,t411-b1B5C-slD,"Walmart-Titus Towers-Commons@Green St",0,7004,39632_shp,0,0
15,13,t461-b1B5B-slD,"Titus Towers - Wegmans - Walmart",1,7003,39635_shp,0,0
15,13,t475-b1B5B-slD,"Walmart-Titus Towers-Commons@Green St",0,7003,39632_shp,0,0
15,13,t4B8-b1B63-slD,"Wegman's - Walmart - Express",1,7011,39417_shp,0,0
15,13,t4C5-b1B5C-slD,"Titus Towers - Wegmans - Walmart",1,7004,39635_shp,0,0
15,13,t4C5-b1B63-slD,"Walmart-Titus Towers-Commons@Green St",0,7011,39632_shp,0,0
15,13,t4D9-b1B5C-slD,"Walmart-Titus Towers-Commons@Green St",0,7004,39632_shp,0,0
15,13,t529-b1B5B-slD,"Titus Towers - Wegmans - Walmart",1,7003,39635_shp,0,0
15,13,t52B-b1B63-slD,"Wegman's - Walmart - Express",1,7011,39417_shp,0,0
15,13,t538-b1B63-slD,"Walmart-Titus Towers-Commons@Green St",0,7011,39632_shp,0,0
15,13,t53D-b1B5B-slD,"Walmart-Titus Towers-Commons@Green St",0,7003,39632_shp,0,0
15,13,t58D-b1B5C-slD,"Titus Towers - Wegmans - Walmart",1,7004,39635_shp,0,0
15,13,t59E-b1B63-slD,"Wegman's - Walmart - Express",1,7011,39417_shp,0,0
15,13,t5A1-b1B5C-slD,"Walmart-Titus Towers-Commons@Green St",0,7004,39632_shp,0,0
15,13,t5AB-b1B63-slD,"Walmart-Titus Towers-Commons@Green St",0,7011,39632_shp,0,0
15,13,t5F1-b1B5B-slD,"Titus Towers - Wegmans - Walmart",1,7003,39635_shp,0,0
15,13,t605-b1B5B-slD,"Walmart-Titus Towers-Commons@Green St",0,7003,39632_shp,0,0
15,13,t611-b1B63-slD,"Wegman's - Walmart - Express",1,7011,39417_shp,0,0
15,13,t646-b1B63-slD,"Walmart-Titus Towers-Commons@Green St",0,7011,39632_shp,0,0
15,13,t655-b1B5C-slD,"Titus Towers - Wegmans - Walmart",1,7004,39635_shp,0,0
15,13,t669-b1B5C-slD,"Walmart-Titus Towers-Commons@Green St",0,7004,39632_shp,0,0
15,13,t6AC-b1B63-slD,"Wegman's - Walmart - Express",1,7011,39417_shp,0,0
15,13,t6B9-b1B5B-slD,"Titus Towers - Wegmans - Walmart",1,7003,39635_shp,0,0
15,13,t6B9-b1B63-slD,"Walmart-Titus Towers-Commons@Green St",0,7011,39632_shp,0,0
15,13,t6CD-b1B5B-slD,"Walmart-Titus Towers-Commons@Green St",0,7003,39632_shp,0,0
15,13,t71D-b1B5C-slD,"Titus Towers - Wegmans - Walmart",1,7004,39635_shp,0,0
15,13,t71F-b1B63-slD,"Wegman's - Walmart - Express",1,7011,39417_shp,0,0
15,13,t72C-b1B63-slD,"Walmart-Titus Towers-Commons@Green St",0,7011,39632_shp,0,0
15,13,t731-b1B5C-slD,"Walmart-Titus Towers-Commons@Green St",0,7004,39632_shp,0,0
15,15,t335-b232B-slF,"Titus Towers - Wegmans - Walmart",1,9003,39483_shp,0,0
15,15,t349-b232B-slF,"Walmart-Titus Towers-Commons@Green St",0,9003,39630_shp,0,0
15,15,t399-b232A-slF,"Titus Towers - Wegmans - Walmart",1,9002,39483_shp,0,0
15,15,t3AD-b232A-slF,"Walmart-Titus Towers-Commons@Green St",0,9002,39630_shp,0,0
15,15,t3FD-b232B-slF,"Titus Towers - Wegmans - Walmart",1,9003,39483_shp,0,0
15,15,t411-b232B-slF,"Walmart-Titus Towers-Commons@Green St",0,9003,39630_shp,0,0
15,15,t461-b232A-slF,"Titus Towers - Wegmans - Walmart",1,9002,39483_shp,0,0
15,15,t475-b232A-slF,"Walmart-Titus Towers-Commons@Green St",0,9002,39630_shp,0,0
15,15,t4B8-b2335-slF,"Wegman's - Walmart - Express",1,9013,39416_shp,0,0
15,15,t4C5-b2333-slF,"Titus Towers - Wegmans - Walmart",1,9011,39483_shp,0,0
15,15,t4C5-b2335-slF,"Walmart-Titus Towers-Commons@Green St",0,9013,39630_shp,0,0
15,15,t4D9-b2333-slF,"Walmart-Titus Towers-Commons@Green St",0,9011,39630_shp,0,0
15,15,t529-b232A-slF,"Titus Towers - Wegmans - Walmart",1,9002,39483_shp,0,0
15,15,t52B-b2335-slF,"Wegman's - Walmart - Express",1,9013,39416_shp,0,0
15,15,t538-b2335-slF,"Walmart-Titus Towers-Commons@Green St",0,9013,39630_shp,0,0
15,15,t53D-b232A-slF,"Walmart-Titus Towers-Commons@Green St",0,9002,39630_shp,0,0
15,15,t58D-b2333-slF,"Titus Towers - Wegmans - Walmart",1,9011,39483_shp,0,0
15,15,t59E-b2335-slF,"Wegman's - Walmart - Express",1,9013,39416_shp,0,0
15,15,t5A1-b2333-slF,"Walmart-Titus Towers-Commons@Green St",0,9011,39630_shp,0,0
15,15,t5AB-b2335-slF,"Walmart-Titus Towers-Commons@Green St",0,9013,39630_shp,0,0
15,15,t5F1-b232A-slF,"Titus Towers - Wegmans - Walmart",1,9002,39483_shp,0,0
15,15,t605-b232A-slF,"Walmart-Titus Towers-Commons@Green St",0,9002,39630_shp,0,0
15,15,t611-b2335-slF,"Wegman's - Walmart - Express",1,9013,39416_shp,0,0
15,15,t646-b2335-slF,"Walmart-Titus Towers-Commons@Green St",0,9013,39630_shp,0,0
15,15,t655-b2333-slF,"Titus Towers - Wegmans - Walmart",1,9011,39483_shp,0,0
15,15,t669-b2333-slF,"Walmart-Titus Towers-Commons@Green St",0,9011,39630_shp,0,0
15,15,t6AC-b2335-slF,"Wegman's - Walmart - Express",1,9013,39416_shp,0,0
15,15,t6B9-b232A-slF,"Titus Towers - Wegmans - Walmart",1,9002,39483_shp,0,0
15,15,t6B9-b2335-slF,"Walmart-Titus Towers-Commons@Green St",0,9013,39630_shp,0,0
15,15,t6CD-b232A-slF,"Walmart-Titus Towers-Commons@Green St",0,9002,39630_shp,0,0
15,15,t71D-b2333-slF,"Titus Towers - Wegmans - Walmart",1,9011,39483_shp,0,0
15,15,t71F-b2335-slF,"Wegman's - Walmart - Express",1,9013,39416_shp,0,0
15,15,t72C-b2335-slF,"Walmart-Titus Towers-Commons@Green St",0,9013,39630_shp,0,0
15,15,t731-b2333-slF,"Walmart-Titus Towers-Commons@Green St",0,9011,39630_shp,0,0
